종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률,기준일
000120,CJ대한통운,89200,2100,2.41,10357.0,8.61,12579.0,7.09,180690.0,0.49,500,0.56,20241023
011150,CJ씨푸드,3155,45,1.45,123.0,25.65,,,2160.0,1.46,0,0.0,20241023
011155,CJ씨푸드1우,18380,-20,-0.11,,,,,,,0,0.0,20241023
001045,CJ우,57900,0,0.0,,,,,,,3050,5.27,20241023
097950,CJ제일제당,276500,500,0.18,24081.0,11.48,37419.0,7.39,446325.0,0.62,5500,1.99,20241023
097955,CJ제일제당 우,136000,1000,0.74,,,,,,,5550,4.08,20241023
051500,CJ프레시웨이,18190,-180,-0.98,4489.0,4.05,5267.0,3.45,24396.0,0.75,450,2.47,20241023
058820,CMG제약,2130,-20,-0.93,46.0,46.3,,,1370.0,1.55,0,0.0,20241023
023460,CNH,264,0,0.0,,,,,2748.0,0.1,0,0.0,20241023
056730,CNT85,817,3,0.37,193.0,4.23,,,1042.0,0.78,0,0.0,20241023
000480,CR홀딩스,5650,-10,-0.18,14.0,403.57,,,14318.0,0.39,410,7.26,20241023
065770,CS,995,-8,-0.8,,,,,902.0,1.1,0,0.0,20241023
083660,CSA 코스믹,836,0,0.0,,,,,362.0,2.31,0,0.0,20241023
000590,CS홀딩스,69800,0,0.0,15091.0,4.63,,,264028.0,0.26,500,0.72,20241023
012030,DB,1614,-8,-0.49,106.0,15.23,,,2067.0,0.78,0,0.0,20241023
456440,DB금융스팩11호,2275,-5,-0.22,,,,,,,0,0.0,20241023
477760,DB금융스팩12호,2065,-5,-0.24,,,,,,,0,0.0,20241023
016610,DB금융투자,5480,-60,-1.08,151.0,36.29,,,24561.0,0.22,200,3.65,20241023
005830,DB손해보험,115500,1900,1.67,28955.0,3.99,30885.0,3.74,170486.0,0.68,5300,4.59,20241023
000990,DB하이텍,36900,100,0.27,6241.0,5.91,,,41655.0,0.89,580,1.57,20241023
139130,DGB금융지주,8110,-50,-0.61,2180.0,3.72,2560.0,3.17,35751.0,0.23,550,6.78,20241023
099520,DGI,1284,0,0.0,,,,,566.0,2.27,0,0.0,20241023
060900,DGP,1219,3,0.25,,,,,2149.0,0.57,0,0.0,20241023
290120,DH오토리드,2675,-60,-2.19,,,,,5438.0,0.49,0,0.0,20241023
025440,DH오토웨어,215,5,2.38,5.0,43.0,,,452.0,0.48,0,0.0,20241023
001530,DI동일,37350,-100,-0.27,164.0,227.74,905.0,41.28,30136.0,1.24,250,0.67,20241023
000210,DL,41450,-50,-0.12,,,8486.0,4.88,169901.0,0.24,1000,2.41,20241023
000215,DL우,23800,150,0.63,,,,,,,1050,4.41,20241023
375500,DL이앤씨,30650,-750,-2.39,4679.0,6.55,6645.0,4.61,118750.0,0.26,500,1.63,20241023
37550L,DL이앤씨2우(전환),20950,-150,-0.71,,,,,,,500,2.39,20241023
