종목코드,종목명,배당수익률,주당배당금,기준일
075580,세진중공업,2.65,200,20241023
090435,아모레퍼시픽우,2.65,915,20241023
203450,유니온커뮤니티,2.65,70,20241023
000670,영풍,2.64,10000,20241023
025880,케이씨피드,2.64,75,20241023
012280,영화금속,2.62,20,20241023
003570,SNT다이내믹스,2.62,700,20241023
058400,KNN,2.62,20,20241023
007980,TP,2.62,35,20241023
016590,신대양제지,2.6,150,20241023
078070,유비쿼스홀딩스,2.6,250,20241023
024720,콜마홀딩스,2.6,180,20241023
373170,엠아이큐브솔루션,2.59,200,20241023
448280,에코아이,2.59,500,20241023
016800,퍼시스,2.59,1200,20241023
126560,현대퓨처넷,2.58,100,20241023
060480,국일신동,2.58,50,20241023
048830,엔피케이,2.58,30,20241023
003100,선광,2.57,400,20241023
037760,쎄니트,2.57,40,20241023
456040,OCI,2.57,2000,20241023
02826K,삼성물산우B,2.57,2600,20241023
007370,진양제약,2.56,150,20241023
009160,SIMPAC,2.56,100,20241023
250000,보라티알,2.55,250,20241023
060560,홈센타홀딩스,2.55,20,20241023
052330,코텍,2.54,200,20241023
100700,세운메디칼,2.54,70,20241023
26490K,크라운제과우,2.52,252,20241023
049770,동원F&B,2.52,800,20241023
263690,디알젬,2.52,180,20241023
298050,HS효성첨단소재,2.51,6500,20241023
037070,파세코,2.51,150,20241023
027360,아주IB투자,2.51,50,20241023
004890,동일산업,2.5,1000,20241023
080160,모두투어,2.49,250,20241023
004360,세방,2.49,300,20241023
023810,인팩,2.49,180,20241023
051500,CJ프레시웨이,2.47,450,20241023
066620,국보디자인,2.47,400,20241023
043370,피에이치에이,2.47,250,20241023
124560,태웅로직스,2.46,70,20241023
054540,삼영엠텍,2.45,100,20241023
081000,일진다이아,2.45,300,20241023
005930,삼성전자,2.44,1444,20241023
063570,한국전자금융,2.44,125,20241023
001630,종근당홀딩스,2.43,1400,20241023
019540,일지테크,2.42,100,20241023
119610,인터로조,2.41,600,20241023
000210,DL,2.41,1000,20241023
028670,팬오션,2.41,85,20241023
105840,우진,2.4,200,20241023
123040,엠에스오토텍,2.4,75,20241023
37550L,DL이앤씨2우(전환),2.39,500,20241023
010420,한솔PNS,2.38,25,20241023
024070,WISCOM,2.38,50,20241023
007070,GS리테일,2.38,500,20241023
005990,매일홀딩스,2.38,200,20241023
090355,노루페인트우,2.37,330,20241023
014830,유니드,2.37,1600,20241023
015750,성우하이텍,2.37,150,20241023
183190,아세아시멘트,2.36,255,20241023
161000,애경케미칼,2.36,250,20241023
251630,브이원텍,2.36,100,20241023
000020,동화약품,2.36,180,20241023
011280,태림포장,2.36,50,20241023
008870,금비,2.36,1300,20241023
051905,LG생활건강우,2.34,3550,20241023
058630,엠게임,2.34,150,20241023
192650,드림텍,2.33,200,20241023
001465,BYC우,2.32,305,20241023
036890,진성티이씨,2.32,200,20241023
030520,한글과컴퓨터,2.32,410,20241023
123410,코리아에프티,2.31,120,20241023
004710,한솔테크닉스,2.31,100,20241023
006140,피제이전자,2.31,120,20241023
036580,팜스코,2.31,50,20241023
280360,롯데웰푸드,2.3,3000,20241023
408920,메쎄이상,2.3,50,20241023
050860,아세아텍,2.29,50,20241023
003380,하림지주,2.28,120,20241023
067730,로지시스,2.28,60,20241023
023350,한국종합기술,2.28,100,20241023
138040,메리츠금융지주,2.28,2360,20241023
049430,코메론,2.28,250,20241023
020710,시공테크,2.27,80,20241023
012790,신일제약,2.27,170,20241023
225190,LK삼양,2.26,60,20241023
092220,KEC,2.26,20,20241023
151860,KG에코솔루션,2.26,120,20241023
033500,동성화인텍,2.25,250,20241023
006090,사조오양,2.24,200,20241023
016580,환인제약,2.24,300,20241023
177830,파버나인,2.24,70,20241023
243070,휴온스,2.23,630,20241023
053800,안랩,2.23,1300,20241023
130660,한전산업,2.22,297,20241023
039010,현대에이치티,2.22,130,20241023
032190,다우데이타,2.22,250,20241023
049800,우진플라임,2.21,50,20241023
007310,오뚜기,2.21,9000,20241023
417790,트루엔,2.21,200,20241023
005360,모나미,2.21,50,20241023
039490,키움증권,2.21,3000,20241023
005390,신성통상,2.21,50,20241023
065510,휴비츠,2.21,200,20241023
199820,제일일렉트릭,2.19,200,20241023
101330,모베이스,2.19,70,20241023
008420,문배철강,2.19,50,20241023
004840,DRB동일,2.19,100,20241023
002870,신풍,2.18,20,20241023
189980,흥국에프엔비,2.18,40,20241023
053270,구영테크,2.18,50,20241023
024910,경창산업,2.18,50,20241023
035150,백산,2.17,300,20241023
041930,동아화성,2.16,150,20241023
007860,서연,2.15,150,20241023
036120,SCI평가정보,2.15,50,20241023
200130,콜마비앤에이치,2.15,308,20241023
011780,금호석유,2.15,2900,20241023
042500,링네트,2.14,100,20241023
037350,성도이엔지,2.14,100,20241023
234340,헥토파이낸셜,2.13,350,20241023
031440,신세계푸드,2.12,750,20241023
230240,에치에프알,2.12,220,20241023
043650,국순당,2.12,105,20241023
000157,두산2우B,2.12,2000,20241023
090410,덕신이피씨,2.12,30,20241023
006620,동구바이오제약,2.11,120,20241023
000720,현대건설,2.11,600,20241023
033830,티비씨,2.1,18,20241023
000155,두산우,2.1,2050,20241023
138070,신진에스엠,2.09,50,20241023
405920,나라셀라,2.09,80,20241023
063760,이엘피,2.09,50,20241023
310870,디와이씨,2.09,25,20241023
038110,에코플라스틱,2.08,60,20241023
